trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.6273302707363,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.52076850289365,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.642059624396765,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-63.81691835626978,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.02170244353726,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.50597051334522,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-66.5540271253656,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.67065984395535,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.36566140311605,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.56503960483846,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.683166858779465,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.84013171353988,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-69.92021956014068,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.02591537657953,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.43746231525023,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.43211260235111,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.388672369443842,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.50230993789171,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.55574827319852,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.12346448372027,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.47863592151377,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.09603251549741,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.60061413801888,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.136324849827695,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.91979324324717,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.63990868487791,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.556514957039283,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-38.54652553550878,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.163324835739044,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.100229913025764,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.29896425970612,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.56420510815979,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.439659742966633,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.541397945609326,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.49582028965531,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
